country code,Country,World region,Survey,Year,Headship,Multidimensional Poverty Index,Headcount ratio: Population in multidimensional poverty,Intensity of deprivation among the poor,,In severe poverty,Year of the survey,Population 2020,Population 2021,Population share by headship,Population size by headship,Number of MPI poor by headship
TGO,Togo,Sub-Saharan Africa,MICS,2017,female-headed,0.166,36.16,45.88,23.94,13.35,7853,8443,8645,21.42,1852,670
TGO,Togo,Sub-Saharan Africa,MICS,2017,male-headed,0.183,38.01,48.24,23.71,15.74,7853,8443,8645,78.58,6793,2582
TON,Tonga,East Asia and the Pacific,MICS,2019,female-headed,0,0.14,33.33,7.01,0,105,105,106,20.54,22,0
TON,Tonga,East Asia and the Pacific,MICS,2019,male-headed,0.004,1.07,38.3,6.25,0.03,105,105,106,79.46,84,1
TTO,Trinidad and Tobago,Latin America and the Caribbean,MICS,2011,female-headed,0.003,0.75,36.24,4.17,0.02,1420,1518,1526,31.81,485,4
TTO,Trinidad and Tobago,Latin America and the Caribbean,MICS,2011,male-headed,0.002,0.58,39.04,3.45,0.14,1420,1518,1526,68.19,1040,6
TUN,Tunisia,Arab States,MICS,2018,female-headed,0.005,1.4,35.38,4.85,0,11933,12162,12263,10.85,1331,19
TUN,Tunisia,Arab States,MICS,2018,male-headed,0.003,0.72,36.75,2.09,0.07,11933,12162,12263,89.15,10932,78
TKM,Turkmenistan,Europe and Central Asia,MICS,2019,female-headed,0,0.1,33.33,0.16,0,6158,6250,6342,21.53,1365,1
TKM,Turkmenistan,Europe and Central Asia,MICS,2019,male-headed,0.001,0.29,34.11,0.39,0,6158,6250,6342,78.47,4977,15
TUV,Tuvalu,East Asia and the Pacific,MICS,2019-2020,female-headed,0.006,1.74,37.18,7.31,0,11,11,11,16.19,2,0
TUV,Tuvalu,East Asia and the Pacific,MICS,2019-2020,male-headed,0.008,2.19,38.4,13.14,0,11,11,11,83.81,9,0
UGA,Uganda,Sub-Saharan Africa,DHS,2016,female-headed,0.297,59.04,50.37,21.63,28.89,38748,44405,45854,29.4,13481,7959
UGA,Uganda,Sub-Saharan Africa,DHS,2016,male-headed,0.274,56.39,48.63,24.43,24.34,38748,44405,45854,70.6,32373,18255
UKR,Ukraine,Europe and Central Asia,MICS,2012,female-headed,0.001,0.35,34.13,0.71,0,45406,43910,43531,42.86,18656,66
UKR,Ukraine,Europe and Central Asia,MICS,2012,male-headed,0.001,0.16,34.87,0.2,0,45406,43910,43531,57.14,24876,40
UZB,Uzbekistan,Europe and Central Asia,MICS,2021-2022,female-headed,0.007,1.78,38.24,0.04,0.23,34628,33527,34081,19.9,6782,121
UZB,Uzbekistan,Europe and Central Asia,MICS,2021-2022,male-headed,0.006,1.72,34.53,0.29,0,34628,33527,34081,80.1,27300,469
VNM,Viet Nam,East Asia and the Pacific,MICS,2020-2021,female-headed,0.006,1.47,38.79,4.17,0.21,97468,96649,97468,25.43,24791,364
VNM,Viet Nam,East Asia and the Pacific,MICS,2020-2021,male-headed,0.008,2.07,40.63,3.23,0.4,97468,96649,97468,74.57,72677,1506
YEM,Yemen,Arab States,DHS,2013,female-headed,0.209,42.92,48.73,21.99,19.09,26984,32284,32982,5.53,1825,783
YEM,Yemen,Arab States,DHS,2013,male-headed,0.247,48.79,50.68,22.3,24.66,26984,32284,32982,94.47,31157,15202
ZMB,Zambia,Sub-Saharan Africa,DHS,2018,female-headed,0.25,50.76,49.33,23.67,24.33,17836,18928,19473,22.88,4456,2262
ZMB,Zambia,Sub-Saharan Africa,DHS,2018,male-headed,0.226,47.06,48.05,23.93,20.05,17836,18928,19473,77.12,15017,7068
ZWE,Zimbabwe,Sub-Saharan Africa,MICS,2019,female-headed,0.128,29.37,43.58,26.14,8.91,15355,15670,15994,35.5,5677,1667
ZWE,Zimbabwe,Sub-Saharan Africa,MICS,2019,male-headed,0.1,23.84,41.96,26.44,5.59,15355,15670,15994,64.5,10316,2459
